week,n,fraud rate,AUC
0,21768,0.0385,0.8751
1,20417,0.0387,0.8541
2,20005,0.041,0.8453
3,20263,0.0458,0.8744
4,23586,0.0428,0.866
5,20884,0.043,0.8453
6,19787,0.0345,0.8761
7,21775,0.0391,0.8642
8,27748,0.034,0.8627
9,21907,0.0322,0.8773
10,20720,0.0414,0.9013
11,20980,0.051,0.9031
12,23835,0.0366,0.8909
13,19617,0.0352,0.8958
14,18595,0.0346,0.9207
15,18487,0.036,0.9012
16,20395,0.0315,0.902
17,20689,0.0285,0.9009
18,20960,0.033,0.8897
19,20194,0.0361,0.8996
20,17674,0.0418,0.9073
21,2619,0.0443,0.8965
